DCI / Nome Genérico;Nome do Medicamento;Forma Farmacêutica;Dosagem;Estado de Autorização;Genérico;Titular de AIM;Stock
Abacavir;Ziagen;Comprimido revestido por película;300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
Abacavir;Ziagen;Solução oral;20 mg/ml;Autorizado;N;ViiV Healthcare UK Ltd.;50
Abacavir + Lamivudina;Kivexa;Comprimido revestido por película;600 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
Abacavir + Lamivudina + Zidovudina;Abacavir + Lamivudina + Zidovudina Teva;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;S;Teva Pharma - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Abacavir + Lamivudina + Zidovudina;Trizivir;Comprimido revestido por película;300 mg + 150 mg + 300 mg;Autorizado;N;ViiV Healthcare UK Ltd.;50
Abatacept;Orencia;Pó para concentrado para solução para perfusão;250 mg;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Abatacept;Orencia;Solução injetável em caneta pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Abatacept;Orencia;Solução injetável em seringa pré-cheia;125 mg/1 ml;Autorizado;N;Bristol-Myers Squibb Pharma EEIG;50
Abciximab;Reopro;Solução injetável;10 mg/5 ml;Autorizado;N;Janssen Biologics B.V.;50
Abiraterona;Zytiga;Comprimido;250 mg;Autorizado;N;Janssen-Cilag International N.V.;50
Acamprosato;Campral;Comprimido gastrorresistente;333 mg;Autorizado;N;Merck Santé S.A.S.;50
Acarbose;Acarbose Bluepharma;Comprimido;100 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50 ,,,,,,,,
Acarbose;Acarbose Bluepharma;Comprimido;50 mg;Autorizado;S;Bluepharma Genéricos - Comércio de Medicamentos, S.A.;50,,,,,,,,
Acarbose;Acarbose Bluesar;Comprimido;100 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.;50,,,,,,,,
Acarbose;Acarbose Bluesar;Comprimido;50 mg;Autorizado;S;Bluepharma - Indústria Farmacêutica, S.A.;50,,,,,,,,
Acarbose;Acarbose DNA Pharma;Comprimido;100 mg;Autorizado;S;DNA Pharma, Lda.;50,,,,,,,,
Acarbose;Acarbose DNA Pharma;Comprimido;50 mg;Autorizado;S;DNA Pharma, Lda.;50,,,,,,,,
Acarbose;Acarbose Establix;Comprimido;100 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50,,,,,,,,
Acarbose;Acarbose Establix;Comprimido;50 mg;Autorizado;S;Pentafarma - Sociedade Técnico-Medicinal, S.A.;50,,,,,,,,
Acarbose;Acarbose Farmoz;Comprimido;100 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50,,,,,,,,
Acarbose;Acarbose Farmoz;Comprimido;50 mg;Autorizado;S;Farmoz - Sociedade Técnico Medicinal, S.A.;50,,,,,,,,
Acarbose;Acarbose Friulchem;Comprimido;100 mg;Autorizado;S;Friulchem S.p.A.;50
Acarbose;Acarbose Friulchem;Comprimido;50 mg;Autorizado;S;Friulchem S.p.A.;50
Acarbose;Acarbose Generis;Comprimido;100 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Acarbose;Acarbose Generis;Comprimido;50 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Acarbose;Acarbose Labesfal;Comprimido;100 mg;Autorizado;S;Labesfal Genéricos, S.A;50,,,,,,,,
Acarbose;Acarbose Labesfal;Comprimido;50 mg;Autorizado;S;Labesfal Genéricos, S.A;50,,,,,,,,
Acarbose;Acarbose Mylan;Comprimido;100 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Acarbose;Acarbose Mylan;Comprimido;50 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Acarbose;Glucobay;Comprimido;100 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50,,,,,,,,
Acarbose;Glucobay;Comprimido;50 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50,,,,,,,,
Acarbose;Glucobay;Comprimido orodispersível;100 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50,,,,,,,,
Acarbose;Glucobay;Comprimido orodispersível;50 mg;Autorizado;N;Centrofarma - Indústria e Comércio de Produtos Farmacêuticos Unipessoal, Lda.;50,,,,,,,,
Aceclofenac;Aceclofenac Alter 100 mg Comprimidos;Comprimido revestido por película;100 mg;Autorizado;S;Alter, S.A.;50,,,,,,,,
Aceclofenac;Aceclofenac Avidraran;Comprimido revestido por película;100 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aceclofenac;Aceclofenac Ciclum 100 mg Comprimidos;Comprimido revestido por película;100 mg;Autorizado;S;Ciclum Farma Unipessoal, Lda.;50,,,,,,,,
Aceclofenac;Aceclofenac Generis 100 mg Comprimidos;Comprimido revestido por película;100 mg;Autorizado;S;Generis Farmacêutica, S.A.;50,,,,,,,,
Aceclofenac;Aceclofenac Germed;Comprimido revestido por película;100 mg;Autorizado;S;Germed Farmacêutica, Lda.;50,,,,,,,,
Aceclofenac;Aceclofenac Mylan;Comprimido revestido por película;100 mg;Autorizado;S;Mylan, Lda.;50,,,,,,,,
Aceclofenac;Aceclofenac Ratiopharm;Comprimido revestido por película;100 mg;Autorizado;S;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Airtal;Comprimido revestido por película;100 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Airtal;Pó para suspensão oral;100 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Airtal Difucreme;Creme;15 mg/g;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Biofenac;Comprimido revestido por película;100 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Biofenac;Creme;15 mg/g;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceclofenac;Biofenac;Pó para suspensão oral;100 mg;Autorizado;N;Almirall - Produtos Farmacêuticos, Lda.;50,,,,,,,,
Aceglumato de deanol + Heptaminol;Forticol;Solução oral;230 mg/10 ml + 180 mg/10 ml;Autorizado;N;Laboratório Medinfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acemetacina;Rantudil;Cápsula;60 mg;Autorizado;N;Bialfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acemetacina;Rantudil 90 Retard;Cápsula de libertação prolongada;90 mg;Autorizado;N;Bialfar - Produtos Farmacêuticos, S.A.;50,,,,,,,,
Acenocumarol;Sintrom;Comprimido;4 mg;Autorizado;N;Merus Labs Luxco, SARL;50,,,,,,,,
Aceponato de metilprednisolona;Advantan;Creme;1 mg/g;Autorizado;N;Bayer Portugal, S.A.;50,,,,,,,,
Aceponato de metilprednisolona;Advantan;Emulsão cutânea;1 mg/g;Autorizado;N;Bayer Portugal, S.A.;50,,,,,,,,
Aceponato de metilprednisolona;Advantan;Pomada;1 mg/g;Autorizado;N;Bayer Portugal, S.A.;50,,,,,,,,
Aceponato de metilprednisolona;Advantan;Solução cutânea;1 mg/ml;Autorizado;N;Bayer Portugal, S.A.;50,,,,,,,,
Acetato de cálcio;Phosphosorb;Comprimido revestido por película;660 mg;Autorizado;N;Fresenius Medical Care Nephrologica Deutschland GmbH;50
Acetato de cálcio + Carbonato de magnésio;Osvaren;Comprimido revestido por película;435 mg + 235 mg;Autorizado;N;Fresenius Medical Care Nephrologica Deutschland GmbH;50
Acetato de eslicarbazepina;Zebinix;Comprimido;200 mg;Autorizado;N;Bial - Portela & Cª, S.A.;50,,,,,,,,
Acetato de eslicarbazepina;Zebinix;Comprimido;400 mg;Autorizado;N;Bial - Portela & Cª, S.A.;50,,,,,,,,
